Фамилия,Имя,Отчество,Прежние ФИО,Дата рождения,Место рождения,СНИЛС,ИНН,Вид документа,Серия и номер,Субъект Российской Федерации,Район,Город,Населенный пункт,Улица,Номер дома,Номер корпуса,Номер квартиры,Тип недвижимости,Вид собственности (недвижимость),Адрес недвижимости,Площадь (кв.м),Основание приобретения (недвижимость),Стоимость (недвижимость),Залог (недвижимость),Тип транспортного средства,Марка (транспорт),Год изготовления (транспорт),Идентификационный номер (VIN),Вид собственности (транспорт),Место нахождения/хранения (транспорт),Стоимость (транспорт),Залог (транспорт),Наименование банка/кредитной организации,Адрес банка/кредитной организации,Вид счета,Валюта счета,Дата открытия счета,Остаток на счете (руб.),Наименование организации,Организационно-правовая форма,Адрес организации,Уставный капитал (руб.),Паевой фонд (руб.),Доля участия (%),Основание участия,Вид ценной бумаги,Лицо выпустившее ценную бумагу,Номинальная величина обязательства (руб),Общее количество,Общая стоимость (руб),Наличные денежные средства,Адрес хранения наличных,Драгоценности,Адрес хранения драгоценностей,Предметы искусства,Адрес хранения предметов искусства,Имущество для профессиональных занятий,Адрес хранения имущества,Иное ценное имущество,Адрес хранения иного имущества,Ссылка на документ,ID
Новиков,Тимофей,Ильясович,Фадеев Аполлинарий Жанович,10/19/1975,г. Чита,404568131315,3776523464,Водительское удостоверение,"3,615,976,890",Еврейская АО,Восточный,д. Катав-Ивановск,Поселок,бул. Братский,177,9,31,Жилой дом,Государственная,"пр. Подстанция, д.77, кв.46",445,Наследство,2853901,Нет,Сельскохозяйственная техника,ЗАО «Соловьев»,1988,dsE-858074,Государственная,"п. Сыктывкар, ул. Дзержинского, д. 5/9 стр. 473, 290728",2840028,Да,ООО «Тимофеева-Бирюков» Банк,"с. Архыз, бул. Станционный, д. 8, 596544",Депозитный счет,USD,9/23/2016,4992976,"ООО «Красильникова, Евдокимова и Калашников»",ЗАО,"д. Темрюк, ш. Восточное, д. 891 к. 47, 264928",25975270,46825625,0.98,Вклад в уставный капитал,Облигация,Воронова Групп,28455,8985,340832,495904,"наб. Сибирская, д.142",251942,"наб. Правды, д.103",147283,"ул. Плеханова, д.153",69515,"пр. Волочаевский, д.194",218729,"ул. Первомайская, д.29",https://docs.google.com/document/d/1DrV7SS98EU7mx7Gpt7UJlMtdlwWr1KcHjwqFR3XTsMQ/edit?usp=sharing,60d65433-9d92-449e-a780-ea6503d0bc42
Михеев,Самсон,Гертрудович,Медведева Елена Арсенович,5/19/2000,г. Славянск-на-Кубани,506585297733,9036297145,Водительское удостоверение,"8,700,404,827",Ямало-Ненецкий АО,Западный,"д. Москва, МГУ",Поселок,пер. Энтузиастов,125,8,54,Земельный участок,Частная,"ул. Ангарская, д.3, кв.93",421,Наследство,1378598,Нет,Грузовой автомобиль,"ООО «Гущин, Кузнецов и Симонова»",2008,YtF-003937,Государственная,"ст. Лесной (Сверд.), наб. Железнодорожная, д. 5, 041278",3459853,Нет,Монди СЛПК (Mondi) Банк,"д. Адлер, наб. Енисейская, д. 6 стр. 7, 214901",Сберегательный счет,USD,7/26/2019,3870336,АО «Моисеева-Миронов»,ПАО,"к. Гагарин, бул. Клубный, д. 6/7 стр. 49, 288250",13161652,19267405,59.1,Покупка акций,Опцион,"ООО «Самойлова, Ермакова и Дроздов»",37437,331,48400,196147,"ул. Блюхера, д.89",60061,"пер. Мельничный, д.180",115121,"пер. Волжский, д.33",209163,"ул. Шаумяна, д.106",102527,"ул. Тельмана, д.166",https://docs.google.com/document/d/1UigVdgM9d1E-aQlCm5vVd7SUS6_0guwC-GUWLjtDPcc/edit?usp=sharing,3b243fc5-1957-45ea-aea9-e35f90ae801b
Ситников,Ерофей,Феликсович,Данилова Ия Филиппович,5/13/1961,ст. Пушкино (Моск.),651388484524,9329734410,Паспорт,"7,182,149,637",Ямало-Ненецкий АО,Южный,г. Тобольск,Поселок,алл. Больничная,128,2,69,Земельный участок,Частная,"бул. Водников, д.165, кв.61",341,Дарение,3671442,Нет,Грузовой автомобиль,ИП «Владимирова-Наумов»,2019,dKZ-997347,Муниципальная,"г. Москва, МГУ, алл. Техническая, д. 2/9 к. 31, 523576",2347730,Да,"ОАО «Русаков, Игнатьев и Белозеров» Банк","клх Алапаевск, алл. Овражная, д. 806 стр. 9, 817581",Депозитный счет,EUR,4/25/2018,4419337,НПО «Фомичев»,ЗАО,"д. Тамбей, бул. Флотский, д. 59, 732965",9223783,32654997,97.06,Вклад в уставный капитал,Опцион,Сименс (Siemens),25437,3700,210624,260670,"наб. Мельничная, д.186",21441,"бул. Дружба, д.42",322242,"алл. Февральская, д.51",81719,"наб. Ульянова, д.143",125383,"пр. Пионерский, д.12",https://docs.google.com/document/d/1O6hXPuGHJCGk1emK65DFz71Y9Ii0Dc64NO3knpHdFe8/edit?usp=sharing,5479e83e-ec26-4601-b678-235a26683c2b
Орлов,Венедикт,Гурьевич,Попова Зиновий Вилорович,6/18/1977,г. Вендинга,356069333826,2876350770,Свидетельство о рождении,"8,712,675,793",Камчатский край,Центральный,к. Цимлянск,Село,ш. Клубное,4,10,33,Гараж,Государственная,"ш. Малиновое, д.172, кв.16",449,Купля-продажа,2197719,Нет,Водный транспорт,ЗАО «Терентьев-Гурьев»,2011,XNc-453630,Государственная,"п. Ступино, ш. Щербакова, д. 5/5 стр. 9/5, 401061",3944547,Нет,"НПО «Бирюков, Лукина и Колобов» Банк","с. Грозный, ш. Коммунальное, д. 40 к. 2, 720284",Сберегательный счет,USD,1/10/2023,2543177,АО «Филатова-Силина»,ОАО,"г. Арсеньев, ул. Щербакова, д. 3, 096642",43502603,47556562,91.24,Покупка акций,Акция,"АО «Захаров, Брагин и Веселова»",25745,5711,179731,50995,"бул. Смирнова, д.3",92521,"ш. Достоевского, д.65",492869,"ш. Азина, д.150",25717,"ул. Отрадная, д.64",36842,"пр. Ясный, д.175",https://docs.google.com/document/d/1VbJsPDzIsdcJ2n93D-5qhJkcunmHdPgGvaEDYzaDtjU/edit?usp=sharing,b0ae120e-8bbc-42af-89e2-330248504c0a
Кузнецов,Капитон,Гертрудович,Михеева Святослав Мироновна,3/30/1971,к. Грозный,990760848749,7141109353,Свидетельство о рождении,"4,326,285,409",Камчатский край,Южный,с. Горячий Ключ,Деревня,наб. Кочубея,65,6,12,Земельный участок,Частная,"бул. Советов, д.18, кв.99",386,Купля-продажа,356434,Да,Грузовой автомобиль,Савина Групп,2013,biO-403884,Государственная,"клх Переславль-Залесский, ул. Промышленная, д. 81 стр. 1/1, 464651",3772824,Да,АО «Герасимов Ершов» Банк,"д. Щелково, наб. Почтовая, д. 52 стр. 9/8, 696843",Сберегательный счет,RUB,11/24/2020,2609462,"ОАО «Кабанова, Горбачева и Филиппова»",ОАО,"ст. Ишим, алл. Большая, д. 78, 352898",45479928,46428116,39.84,Приватизация,Облигация,"НПО «Тихонов, Артемьева и Капустин»",30175,5471,225866,441460,"ш. Огородное, д.141",18923,"пер. Московский, д.98",174007,"пр. Ангарский, д.156",75801,"наб. Ватутина, д.3",115642,"пер. Красногвардейский, д.149",https://docs.google.com/document/d/1tbNzlz8SAtB1C7lF6C1VYZBnEk1TX7gwVacG8mwL37Q/edit?usp=sharing,b5a34473-509c-42e0-9ee9-33af91115cf0
Лобанова,Марина,Харитоновна,Маслова Афанасий Ааронович,1/22/1963,г. Октябрьское (Хант.),34587394141,1008077948,Свидетельство о рождении,"1,344,335,033",респ. Мордовия,Западный,д. Ясный (Оренб.),Деревня,бул. Шаумяна,11,6,84,Жилой дом,Государственная,"бул. Кольцова, д.18, кв.6",431,Дарение,2556670,Нет,Легковой автомобиль,ИП «Степанов»,1981,pOv-730185,Муниципальная,"п. Егорьевск, алл. Путевая, д. 8/6 стр. 96, 995010",844669,Нет,Охрана Росгвардии Банк,"клх Невьянск, наб. Киевская, д. 4, 535974",Сберегательный счет,USD,7/30/2022,4106004,Капустина Групп,ООО,"с. Верещагино (Перм.), наб. Волжская, д. 663 стр. 19, 538365",33357755,45517659,77.21,Покупка акций,Вексель,ООО «Сидорова»,24620,3239,344478,362984,"пр. Тукая, д.50",103075,"ш. Флотское, д.178",183675,"пр. Станиславского, д.2",273411,"пер. Проточный, д.74",222001,"наб. Заливная, д.135",https://docs.google.com/document/d/1D3mpE1YJI0d3ainaQvNmuxLtVtDWU4QisXxFwj9TzGg/edit?usp=sharing,bee9b24f-9ed9-4aac-9b44-5847c9cd17bc
Дмитриев,Адриан,Трофимович,Гришин Еремей Ниловна,7/23/1984,п. Быково (метеост.),154721771889,2230298511,Паспорт,"4,123,706,604",Свердловская обл.,Центральный,клх Серов,Деревня,пр. Советской Армии,25,7,62,Дача,Государственная,"ул. Семашко, д.33, кв.81",114,Дарение,1626932,Нет,Легковой автомобиль,ООО «Гордеева»,2002,FMY-504763,Государственная,"к. Кизел, алл. Ветеранов, д. 53, 756135",4610685,Да,Ширяев Инкорпорэйтед Банк,"п. Курумкан, наб. Репина, д. 338, 366310",Депозитный счет,EUR,9/12/2018,4733488,Аксенов и партнеры,ООО,"к. Троицко-Печорск, пер. Гоголя, д. 127, 015204",38920387,3149301,61.28,Покупка акций,Акция,Сибирская сервисная компания,3476,8149,376434,387594,"ул. 60 лет Октября, д.12",16859,"пер. Леваневского, д.96",397619,"ш. Володарского, д.71",94548,"пер. Бабушкина, д.3",104309,"пер. Энергетиков, д.44",https://docs.google.com/document/d/17AniDLJVRcfFg2PM2MTbWtLPY8IgsilH8NybwLHr_kc/edit?usp=sharing,ab988004-026d-4cb7-ab8c-9cd4150c13a0
Александров,Игнатий,Власович,Казаков Эдуард Игоревич,2/6/1997,клх Анапа,302843861556,3839808679,Паспорт,"9,853,307,269",Ненецкий АО,Восточный,клх Агинское (Забайк.),Поселок,пр. Крайний,117,4,35,Гараж,Частная,"ш. Ульяновское, д.73, кв.39",350,Дарение,671865,Да,Водный транспорт,РАО «Блинова-Гущин»,2004,TcD-787221,Государственная,"д. Ахтубинск, ш. Астраханское, д. 84 к. 1, 313760",668706,Да,Попова Групп Банк,"с. Заводоуковск, наб. Веселая, д. 154 к. 2/6, 482053",Депозитный счет,RUB,8/23/2021,2308051,"ОАО «Михеев, Калинин и Воронова»",ЗАО,"д. Черняховск, наб. Курчатова, д. 6 к. 4, 911954",45325282,1821993,16.56,Вклад в уставный капитал,Фьючерс,Группа Газфонд,27809,6463,142369,452023,"наб. Береговая, д.134",60433,"бул. Одесский, д.189",420837,"бул. Лесный, д.140",106791,"ул. Димитрова, д.31",51358,"бул. Толбухина, д.76",https://docs.google.com/document/d/1FwLm07_VWNM9XUkym8vo9yvborHJGUB__SnaNtPDvFo/edit?usp=sharing,06a7cd5c-e10c-4e90-babe-61f71f8fe6ba
Антонов,Алла,Вячеславовна,Одинцова Ефрем Давидович,5/14/1990,к. Хоста,674648490562,3386201480,Свидетельство о рождении,"7,927,753,082",Воронежская обл.,Западный,г. Ижевск,Деревня,пер. Строителей,57,9,46,Жилой дом,Муниципальная,"пер. Казанский, д.126, кв.19",175,Дарение,3377596,Нет,Сельскохозяйственная техника,Федосеева Инк,2009,HCg-812052,Частная,"г. Петушки, пер. Высотный, д. 96, 889852",1349554,Да,Панфилов Инкорпорэйтед Банк,"п. Сызрань, бул. Терешковой, д. 5 к. 7/1, 610297",Текущий счет,EUR,9/6/2016,2415523,ООО «Шестаков Наумова»,ЗАО,"к. Катав-Ивановск, ул. 30 лет Победы, д. 268 стр. 1, 199980",30534990,30193365,58.44,Вклад в уставный капитал,Облигация,ИП «Соколова Рябов»,9930,5300,32069,396563,"ш. Сиреневое, д.195",79747,"наб. Зеленая, д.105",379002,"наб. Воровского, д.130",274859,"ул. Локомотивная, д.65",158307,"пер. Запрудный, д.148",https://docs.google.com/document/d/1BQWiUq3hOS5KZWiIe2uBbgc3hcRTRp0JmL4YSMVpdPI/edit?usp=sharing,1af28132-8184-4b9b-b10f-fbd8af12e8f7
Калинин,Роман,Тарасович,Тимофеева Спиридон Тарасович,7/14/1985,д. Пинега,330102315091,1299430771,Паспорт,"5,776,594,124",Красноярский край,Южный,ст. Чегем,Село,наб. Новая,54,10,5,Дача,Государственная,"наб. Осипенко, д.67, кв.100",470,Купля-продажа,4854342,Нет,Мототранспортное средство,Шелл Нефть (Shell),1986,ZeB-678509,Муниципальная,"д. Сочи, алл. Весенняя, д. 7/1 стр. 68, 714140",2547315,Да,АО «Белозеров Капустин» Банк,"д. Осташков, алл. Спортивная, д. 15, 293970",Текущий счет,EUR,5/11/2020,4115794,РАО «Михеев-Яковлева»,ПАО,"к. Лагань, пер. Иркутский, д. 76 стр. 2/9, 622649",45102562,20315986,54.34,Приватизация,Опцион,ОАО «Белова Аксенова»,48454,1364,241732,186621,"алл. Подгорная, д.111",101329,"бул. Правды, д.21",414470,"пр. Гвардейский, д.5",149402,"ул. Дарвина, д.52",247395,"ул. Совхозная, д.107",https://docs.google.com/document/d/1Jqe7De3J5LSvR2n_q_mi9xZH_7u_CONRg_jFkQ4GdBk/edit?usp=sharing,d0505423-b657-4cd1-8ea9-e45ced97f367
